message,label
Win money now,spam
Call me when free,ham
Free recharge offer,spam
Let's meet tomorrow,ham
Earn cash easily,spam
Are you coming to class?,ham
Limited time offer,spam
Submit assignment today,ham
Congratulations you won prize,spam
Dinner at 8?,ham
Get free coupons now,spam
Where are you?,ham
Win a lottery now,spam
Let's study together,ham
Exclusive deal just for you,spam
Call me later,ham
Free entry in contest,spam
Project submission deadline,ham
Click here to win rewards,spam
Going to library,ham
